hfr,steam,id,rank
Bidi Meryvan,Bidi Meryvan,76561198085581200,0
blankette,[HFR]Bachibouzouk,76561198026926470,0
bobsaget,bobsaget,76561197976292757,0
cryophoenix,[HFR] CryoPhoenix,76561197992248180,0
DdsT,DdsT,76561197960739468,0
death4578,4578,76561197986283022,0
dyxos,Dyxos,76561198073906948,0
foudelou,foudelou fuckaduck,76561197960298438,0
kennyknafou,kinanischka,76561197977916352,0
Kikasstou,[HFR] Kikasstou,76561197993439195,0
Lord-Fire, Triad-, 76561198046994405,0
n0name,Don't Tread On Me,76561198049824230,0
nopossum,noooooooova,76561197997649371,0
Nunurs Mega Power,Nunurs Mega Power,76561198028420909,0
POUQIE,POUQIe,76561197960346144,0
psyk0t,psyk0t,76561198032249322,0
Renmazuo7,Grahf,76561198008783396,0
Shorony,Shorony,76561198054785192,0
Showbu,showBu,76561198008021987,1
stefaninho,[HFR]La vieille dame,76561198007188493,0
v4mPir3,v4mPir3,76561197960425686,0
Vahire,vahire,76561197996828680,0
worm'skiller,Barome,76561197987586167,0
ximothov,Jean Louis David - Ximo,76561197993242090,0
