hfr,steam,id,rank
Arkin,Arkin,76561197972123272,0
Bidi Meryvan,Bidi Meryvan,76561198085581200,0
blankette,[HFR]Bachibouzouk,76561198026926470,0
chiyo,chiyo,76561198078588213,0
death4578,4578,76561197986283022,0
elpolloloco,elpolloloco,76561197971750649,0
foudelou,foudelou fuckaduck,76561197960298438,0
Julienenjoy,Julienenjoy,76561198018166277,0
kennyknafou,kinanischka,76561197977916352,0
Kristoph,Kristoph,76561198004452333,0
n0name,Don't Tread On Me,76561198049824230,0
Omniscience,Omniscience,76561198100185192,0
Shorony,Shorony,76561198054785192,0
StefaNouF,StefaNouF,76561198027620405,0
WiiDS,WiiDS,76561197991700609,0
